FRSZ,FRSA,FragZ,FragA,FRSZcentre,FRSZsigma,FRSAQcentre,FRSAQsigma,FragZcentre,FragZsigma,FragAQcentre,FragAQsigma
20,46,20,38,20,0.111,2.3,0.00134,20.0873,0.139555,1.9042,0.0149228
20,46,20,39,20,0.111,2.3,0.00134,20.0873,0.139555,1.94993,0.0144687
20,46,20,40,20,0.111,2.3,0.00134,20.0873,0.139555,1.99881,0.0147823
20,46,20,41,20,0.111,2.3,0.00134,20.0873,0.139555,2.05,0.0149995
20,46,20,42,20,0.111,2.3,0.00134,20.0873,0.139555,2.10476,0.0100614
20,46,20,43,20,0.111,2.3,0.00134,20.0873,0.139555,2.15002,0.0143496
20,46,20,44,20,0.111,2.3,0.00134,20.0873,0.139555,2.20025,0.0149223
20,46,20,45,20,0.111,2.3,0.00134,20.0873,0.139555,2.25415,0.0148656
20,46,20,46,20,0.111,2.3,0.00134,20.0873,0.139555,2.3078,0.0149235
20,47,20,38,20,0.111,2.35,0.00134,20.0873,0.139555,1.9042,0.0149228
20,47,20,39,20,0.111,2.35,0.00134,20.0873,0.139555,1.94993,0.0144687
20,47,20,40,20,0.111,2.35,0.00134,20.0873,0.139555,1.99881,0.0147823
20,47,20,41,20,0.111,2.35,0.00134,20.0873,0.139555,2.05,0.0149995
20,47,20,42,20,0.111,2.35,0.00134,20.0873,0.139555,2.0668,0.0100614
20,47,20,43,20,0.111,2.35,0.00134,20.0873,0.139555,2.14877,0.0143496
20,47,20,44,20,0.111,2.35,0.00134,20.0873,0.139555,2.20795,0.0149223
20,47,20,45,20,0.111,2.35,0.00134,20.0873,0.139555,2.25633,0.0148656
20,47,20,46,20,0.111,2.35,0.00134,20.0873,0.139555,2.30056,0.0149235
20,47,20,47,20,0.111,2.35,0.00134,20.0873,0.139555,2.35693,0.0107663
20,48,20,38,20,0.111,2.4,0.00134,20.0873,0.139555,1.9042,0.0149228
20,48,20,39,20,0.111,2.4,0.00134,20.0873,0.139555,1.94993,0.0144687
20,48,20,40,20,0.111,2.4,0.00134,20.0873,0.139555,1.99881,0.0147823
20,48,20,41,20,0.111,2.4,0.00134,20.0873,0.139555,2.05,0.0149995
20,48,20,42,20,0.111,2.4,0.00134,20.0873,0.139555,2.0946,0.0100614
20,48,20,43,20,0.111,2.4,0.00134,20.0873,0.139555,2.15756,0.0143496
20,48,20,44,20,0.111,2.4,0.00134,20.0873,0.139555,2.21288,0.0149223
20,48,20,45,20,0.111,2.4,0.00134,20.0873,0.139555,2.26387,0.0148656
20,48,20,46,20,0.111,2.4,0.00134,20.0873,0.139555,2.31221,0.0149235
20,48,20,47,20,0.111,2.4,0.00134,20.0873,0.139555,2.36519,0.0149995
20,48,20,48,20,0.111,2.4,0.00134,20.0873,0.139555,2.40354,0.00916845
20,49,20,38,20,0.111,2.45,0.00134,20.0873,0.139555,1.9042,0.0149228
20,49,20,39,20,0.111,2.45,0.00134,20.0873,0.139555,1.94993,0.0144687
20,49,20,40,20,0.111,2.45,0.00134,20.0873,0.139555,1.99881,0.0147823
20,49,20,41,20,0.111,2.45,0.00134,20.0873,0.139555,2.05,0.0149995
20,49,20,42,20,0.111,2.45,0.00134,20.0873,0.139555,2.09842,0.0100614
20,49,20,43,20,0.111,2.45,0.00134,20.0873,0.139555,2.15879,0.0143496
20,49,20,44,20,0.111,2.45,0.00134,20.0873,0.139555,2.22044,0.0149223
20,49,20,45,20,0.111,2.45,0.00134,20.0873,0.139555,2.27814,0.0148656
20,49,20,46,20,0.111,2.45,0.00134,20.0873,0.139555,2.31811,0.00672
20,49,20,47,20,0.111,2.45,0.00134,20.0873,0.139555,2.36488,0.0149995
