FRSZ,FRSA,FragZ,FragA,FRSZcentre,FRSZsigma,FRSAQcentre,FRSAQsigma,FragZcentre,FragZsigma,FragAQcentre,FragAQsigma
20,36,20,33,20,0.111,1.8,0.00134,20.1454,0.1505,1.66,0.015
20,36,20,34,20,0.111,1.8,0.00134,20.1454,0.1505,1.69711,0.015
20,36,20,35,20,0.111,1.8,0.00134,20.1454,0.1505,1.75,0.015
20,36,20,36,20,0.111,1.8,0.00134,20.1454,0.1505,1.80458,0.015
20,37,20,33,20,0.111,1.85,0.00134,20.1454,0.1505,1.66,0.015
20,37,20,34,20,0.111,1.85,0.00134,20.1454,0.1505,1.69711,0.015
20,37,20,35,20,0.111,1.85,0.00134,20.1454,0.1505,1.75,0.015
20,37,20,36,20,0.111,1.85,0.00134,20.1454,0.1505,1.79569,0.015
20,37,20,37,20,0.111,1.85,0.00134,20.1454,0.1505,1.85849,0.00603147
20,38,20,33,20,0.111,1.9,0.00134,20.1454,0.1505,1.66,0.015
20,38,20,34,20,0.111,1.9,0.00134,20.1454,0.1505,1.69711,0.015
20,38,20,35,20,0.111,1.9,0.00134,20.1454,0.1505,1.75,0.015
20,38,20,36,20,0.111,1.9,0.00134,20.1454,0.1505,1.79569,0.015
20,38,20,37,20,0.111,1.9,0.00134,20.1454,0.1505,1.8742,0.012283
20,38,20,38,20,0.111,1.9,0.00134,20.1454,0.1505,1.90775,0.00663184
20,39,20,33,20,0.111,1.95,0.00134,20.1454,0.1505,1.66,0.015
20,39,20,34,20,0.111,1.95,0.00134,20.1454,0.1505,1.69711,0.015
20,39,20,35,20,0.111,1.95,0.00134,20.1454,0.1505,1.75,0.015
20,39,20,36,20,0.111,1.95,0.00134,20.1454,0.1505,1.79569,0.015
20,39,20,37,20,0.111,1.95,0.00134,20.1454,0.1505,1.85124,0.015
20,39,20,38,20,0.111,1.95,0.00134,20.1454,0.1505,1.90938,0.00830607
20,39,20,39,20,0.111,1.95,0.00134,20.1454,0.1505,1.95585,0.00667618
20,40,20,33,20,0.111,2,0.00134,20.1454,0.1505,1.66,0.015
20,40,20,34,20,0.111,2,0.00134,20.1454,0.1505,1.69711,0.015
20,40,20,35,20,0.111,2,0.00134,20.1454,0.1505,1.75,0.015
20,40,20,36,20,0.111,2,0.00134,20.1454,0.1505,1.79569,0.015
20,40,20,37,20,0.111,2,0.00134,20.1454,0.1505,1.87246,0.0050655
20,40,20,38,20,0.111,2,0.00134,20.1454,0.1505,1.90801,0.00648054
20,40,20,39,20,0.111,2,0.00134,20.1454,0.1505,1.96108,0.00658078
20,40,20,40,20,0.111,2,0.00134,20.1454,0.1505,2.00422,0.00739072
20,41,20,33,20,0.111,2.05,0.00134,20.1454,0.1505,1.66,0.015
