runnumcsv[i], FRSsetting[i], numoffspill, numonspill, numtpat1, numtpat0musicz, numtpat0scicave, numtpat0mastercave, numtpat0trig1, numtpat0trig2, numtpat0trig3, numtpat0trig1mastercave, numtpat0trig2mastercave, numtpat0trig3mastercave, SciL, SciR, Master
341, 13, 2605008, 9656298, 290594, 438, 733, 4470, 9351535, 12142, 2027, 4470, 0, 0, 457839, 659666, 2896245
342, 13, 7862557, 29374108, 872848, 1377, 2320, 13791, 28458675, 36488, 6097, 13791, 0, 0, 1378244, 1981868, 8737189
343, 13, 6322019, 24885429, 762583, 1192, 2023, 11434, 24086610, 30881, 5355, 11434, 0, 0, 1201159, 1727656, 7086034
344, 13, 3864228, 14352435, 428363, 672, 1118, 6702, 13903073, 17997, 3002, 6702, 0, 0, 679427, 979128, 4293595
345, 13, 8716548, 30798691, 858623, 1385, 2292, 15127, 29894653, 38344, 7071, 15127, 0, 0, 1355706, 1949704, 9577395
346, 13, 7274097, 28954421, 902126, 1391, 2322, 13059, 28010111, 35890, 6294, 13059, 0, 0, 1419631, 2042466, 8178387
347, 13, 3943023, 14292040, 422386, 683, 1081, 6850, 13848681, 17971, 3002, 6850, 0, 0, 640709, 922564, 4366405
348, 13, 10209038, 28556546, 759560, 1209, 2023, 16441, 27754998, 35966, 6022, 16441, 0, 0, 1191022, 1711226, 10970157
349, 13, 9002026, 29346471, 964396, 1567, 2573, 15814, 28338749, 35917, 7409, 15814, 0, 0, 1542579, 2226134, 9968911
350, 13, 4388983, 14374019, 499708, 767, 1304, 7650, 13852689, 17928, 3694, 7650, 0, 0, 804491, 1159820, 4889886
351, 13, 10825727, 31185294, 923976, 1448, 2379, 18274, 30214186, 38973, 8159, 18273, 0, 1, 1472887, 2127683, 11752225
352, 13, 9026478, 28934098, 939504, 1520, 2448, 15543, 27951817, 35855, 6922, 15543, 0, 0, 1499641, 2165292, 9968236
353, 13, 4688188, 14288473, 455518, 733, 1197, 8064, 13811650, 17947, 3358, 8064, 0, 0, 730688, 1054095, 5144532
354, 13, 9825978, 28902760, 870672, 1389, 2288, 16382, 27989757, 35944, 6387, 16382, 0, 0, 1384575, 1998349, 10698694
355, 13, 9050319, 29064371, 966980, 1553, 2582, 15736, 28054412, 35943, 7036, 15736, 0, 0, 1538422, 2221375, 10019906
356, 13, 4646170, 14427089, 470136, 739, 1207, 7893, 13935417, 18071, 3465, 7893, 0, 0, 749239, 1081031, 5117408
357, 13, 9307151, 28773597, 937564, 1541, 2467, 16016, 27792518, 36115, 7400, 16016, 0, 0, 1495169, 2159801, 10247226
358, 13, 3820605, 12910080, 449789, 739, 1165, 6681, 12441166, 15876, 3249, 6681, 0, 0, 716242, 1034039, 4271768
