Resolution in Mw2-Mw0 and Mw1-Mw0 in Xstd: 0.633563 axis:0.633563
Resolution in Mw1-Mw0 and Mw2-Mw0 in Xstd: 0.637595 axis:0.641675
Resolution in Mw1-Mw0 and Mw3-Mw0 in Xstd: 1.91368 axis:2.35415
Resolution in Mw2-Mw0 and Mw3-Mw0 in Xstd: 1.80749 axis:2.22352
Resolution in Mw2-Mw0 and Mw1-Mw0 in Ystd: 0.5005 axis:0.5005
Resolution in Mw1-Mw0 and Mw2-Mw0 in Ystd: 0.603286 axis:0.537133
Resolution in Mw1-Mw0 and Mw3-Mw0 in Ystd: 0.807674 axis:0.784805
Resolution in Mw2-Mw0 and Mw3-Mw0 in Ystd: 0.572769 axis:0.556551
Resolution in R3BMusic and Mw1-Mw0 in X. std:0.00198162 res:1.97403
Resolution in R3BMusic and Mw2-Mw0 in X. std:0.00193281 res:1.90945
Resolution in R3BMusic and Mw3-Mw0 in X. std:0.00271354 res:2.41296
Resolution in Twim and Mw1-Mw0 in X. std:0.000982838 res:0.979071
Resolution in Twim and Mw2-Mw0 in X. std:0.000726564 res:0.717784
Resolution in Twim and Mw3-Mw0 in X. std:0.00205654 res:1.82873
