Diff in AoQ, -100, -100, -100, -100, -100, -100, 0.087, 0.083, 0.031, 0.047, 0.009, 0.003, 0.003, 0.009, 0.009, -0.021, -0.039, -0.043, -0.039, -0.053, -0.021, -0.035, -0.049, -0.059, -0.073, -0.091, -0.105, -100
Beta offset, -0, -0, -0, -16.6153, -16.9706, -16.7416, 0.0145508, 0.0138909, 0.00515475, 0.00771807, 0.00149117, 0.000497055, 0.00049726, 0.001493, 0.0014936, -0.00347649, -0.00645087, -0.0071125, -0.00645634, -0.0087703, -0.00347794, -0.0057917, -0.00811181, -0.00977542, -0.012095, -0.0150773, -0.0174041, -0
