Diff in AoQ, -100, -100, -100, -100, -100, -100, -0.075, 0.007, -0.101, -0.063, 0.011, 0.003, 0.005, 0.007, 0.005, -0.021, -0.037, -0.039, -0.021, -0.047, -0.009, -0.027, -0.035, -0.049, -0.059, -0.077, -0.087, -100
Beta offset, -0, -0, -0, -0, -16.7525, -16.5336, -0.0126349, 0.00115685, -0.0167615, -0.0103699, 0.00180893, 0.000495579, 0.000826325, 0.00115735, 0.000826681, -0.00346447, -0.00609859, -0.00643114, -0.00346447, -0.00775035, -0.00148543, -0.00445233, -0.00577154, -0.00808736, -0.00973784, -0.0127087, -0.0143965, -0
