FRSZ, FRSA, empty counts in FRS, empty transmission, +/-, error, carbon counts in FRS, carbon transmission, +/-, error, ch2 counts in FRS, ch2 transmission, +/-, error, sigma-1n C, +/-, error, sigma-1n CH2, +/-, error, sigma-1n H, +/-, error, sigma-1p C, +/-, error, sigma-1p CH2, +/-, error, sigma-1p H +/-, error,
20, 49, 199837, 1.81354, +/-, 0.0062029, 440466, 1.68749, +/-, 0.00371037, 418775, 1.5988, +/-, 0.00376741, 71.5301, +/-, 4.03259, 172.078, +/-, 5.63328, 50.2742, +/-, 3.46394, 13.3175, +/-, 0.931049, 36.045, +/-, 1.87915, 11.3638, +/-, 1.04858, 
20, 50, 41971, 1.81102, +/-, 0.00963881, 92934, 1.68006, +/-, 0.00661381, 88049, 1.59078, +/-, 0.00668012, 46.2195, +/-, 17.677, 123.466, +/-, 10.9705, 38.6233, +/-, 10.4023, 18.0364, +/-, 2.12188, 36.3295, +/-, 3.26203, 9.14654, +/-, 1.94571, 
20, 51, 2375, 1.78186, +/-, 0.0589345, 5344, 1.65611, +/-, 0.0328541, 5037, 1.56517, +/-, 0.0346622, 32.3996, +/-, 55.1695, 159.092, +/-, 196.74, 63.346, +/-, 102.164, 19.9669, +/-, 6.95146, 41.6418, +/-, 12.3609, 10.8374, +/-, 7.09074, 
20, 52, 39, 1.74171, +/-, 0.43431, 90, 1.49721, +/-, 0.266255, 94, 1.48792, +/-, 0.253414, 191.186, +/-, 697.279, 0, +/-, 0, 0, +/-, 95.5931, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, -nan, 
21, 47, 1, 0, +/-, -nan, 0, 0, +/-, 0, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 
21, 48, 2, 2.00001, +/-, 1.88088, 5, 1.80164, +/-, 1.0574, 5, 1.00001, +/-, -nan, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 
21, 49, 1386, 1.80157, +/-, 0.0730698, 3051, 1.67744, +/-, 0.044008, 2900, 1.60074, +/-, 0.043826, 47.4566, +/-, 41.2107, 39.2762, +/-, 49.7086, 0, +/-, 4.09021, 0, +/-, 11.0755, 18.7261, +/-, 22.7652, 9.36305, +/-, 12.6582, 
21, 50, 44109, 1.81285, +/-, 0.00923749, 96877, 1.67008, +/-, 0.00640391, 92894, 1.59557, +/-, 0.00616443, 60.6784, +/-, 8.40711, 156.631, +/-, 10.8699, 47.9765, +/-, 6.87083, 11.9501, +/-, 2.0626, 30.4943, +/-, 4.53622, 9.27212, +/-, 2.49157, 
21, 51, 165680, 1.81272, +/-, 0.00667841, 367209, 1.67001, +/-, 0.00402535, 349900, 1.59008, +/-, 0.00407789, 52.4884, +/-, 3.14118, 145.472, +/-, 5.69005, 46.4917, +/-, 3.24976, 8.99514, +/-, 1.33373, 25.0445, +/-, 2.01846, 8.02468, +/-, 1.20965, 
21, 52, 71329, 1.80884, +/-, 0.0100405, 156637, 1.66197, +/-, 0.00610946, 148735, 1.58395, +/-, 0.00616805, 63.043, +/-, 6.52185, 153.289, +/-, 8.97214, 45.1229, +/-, 5.54603, 4.65462, +/-, 1.02947, 9.26717, +/-, 1.57184, 2.30628, +/-, 0.939478, 
21, 53, 10072, 1.79852, +/-, 0.0265356, 21897, 1.65056, +/-, 0.0158028, 20701, 1.56691, +/-, 0.0160855, 51.5236, +/-, 18.3565, 167.82, +/-, 25.748, 58.1483, +/-, 15.8107, 10.0203, +/-, 3.20312, 10.8109, +/-, 2.91249, 0.395314, +/-, 2.16464, 
21, 54, 239, 1.63117, +/-, 0.178701, 506, 1.4759, +/-, 0.10624, 447, 1.27973, +/-, 0.110558, 0, +/-, 463.628, 0, +/-, 690.068, 0, +/-, 415.676, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, -nan, 
22, 0, 2, 0, +/-, 0, 7, 0, +/-, 0, 7, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 
22, 50, 1, 0, +/-, -nan, 2, 1.0034, +/-, -nan, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 
22, 51, 23, 1.75135, +/-, 0.445699, 46, 1.64093, +/-, 0.505793, 45, 1.54376, +/-, 0.264172, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, -nan, 
22, 52, 5615, 1.82017, +/-, 0.0339068, 12622, 1.68398, +/-, 0.0202119, 11953, 1.59409, +/-, 0.0211442, 38.9692, +/-, 22.6947, 110.774, +/-, 28.1224, 35.9025, +/-, 18.0688, 22.7207, +/-, 16.914, 40.6305, +/-, 12.231, 8.95494, +/-, 10.4365, 
22, 53, 71186, 1.81031, +/-, 0.0085353, 158134, 1.67876, +/-, 0.00532461, 150650, 1.58643, +/-, 0.005328, 53.6876, +/-, 5.73017, 149.507, +/-, 8.34068, 47.9097, +/-, 5.05969, 13.9053, +/-, 1.57237, 36.3871, +/-, 2.8168, 11.2409, +/-, 1.61297, 
22, 54, 96669, 1.51028, +/-, 1.10054, 213631, 1.39276, +/-, 0.550277, 202993, 1.20505, +/-, 0.550278, 69.7668, +/-, 2522.94, 189.64, +/-, 3152.52, 59.9364, +/-, 2018.89, 13.8067, +/-, 9.64718, 49.7899, +/-, 27.48, 17.9916, +/-, 14.5621, 
