FRS Z, FRS A, Frag Z, Frag A, Paddle 1, Paddle 2, Paddle 3, Paddle 4, Paddle 5, Paddle 6, Paddle 7, Paddle 8, Paddle 9, Paddle 10, Paddle 11, Paddle 12, Paddle 13, Paddle 14, Paddle 15, Paddle 16, Paddle 17, Paddle 18, Paddle 19, Paddle 20, Paddle 21, Paddle 22, Paddle 23, Paddle 24, Paddle 25, Paddle 26, Paddle 27, Paddle 28, total
18, 46, 16, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5, 1, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 14
18, 46, 16, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3
18, 46, 16, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 46, 16, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 46, 16, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 46, 17, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 13, 15, 20, 13, 2, 0, 67
18, 46, 17, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 10, 8, 11, 18, 13, 1, 1, 0, 67
18, 46, 17, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 11, 10, 19, 17, 10, 2, 4, 0, 0, 78
18, 46, 17, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 4, 9, 35, 35, 40, 19, 10, 0, 1, 0, 0, 156
18, 46, 17, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 8, 24, 34, 37, 33, 23, 7, 2, 0, 0, 0, 0, 173
18, 46, 17, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 28, 30, 37, 34, 12, 3, 2, 0, 0, 0, 0, 0, 157
18, 46, 17, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 32, 41, 37, 24, 7, 6, 0, 0, 0, 1, 0, 0, 0, 157
18, 46, 17, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 29, 51, 37, 24, 9, 0, 1, 1, 1, 3, 1, 2, 1, 0, 172
18, 46, 17, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 21, 48, 33, 12, 6, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 129
18, 46, 17, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 26, 22, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68
18, 46, 17, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 46, 18, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 3, 0, 7
18, 46, 18, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 3, 5, 9, 6, 3, 0, 30
18, 46, 18, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 11, 21, 7, 10, 1, 0, 51
18, 46, 18, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 3, 19, 19, 19, 3, 5, 0, 72
18, 46, 18, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 7, 17, 20, 14, 8, 5, 2, 1, 0, 76
18, 46, 18, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 15, 23, 27, 14, 8, 4, 0, 0, 0, 102
18, 46, 18, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 9, 44, 55, 52, 28, 12, 4, 1, 0, 0, 0, 211
18, 46, 18, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 21, 31, 61, 57, 20, 8, 3, 1, 0, 1, 3, 0, 211
18, 46, 18, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 84, 99, 75, 27, 8, 3, 2, 0, 1, 1, 0, 0, 321
18, 46, 18, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 63, 188, 230, 151, 33, 6, 2, 1, 4, 1, 1, 0, 2, 0, 689
18, 46, 18, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 487, 5685, 9376, 4429, 782, 101, 53, 39, 32, 0, 27, 14, 25, 0, 0, 21063
18, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 137, 202, 76, 28, 14, 12, 9, 17, 12, 15, 13, 3, 7, 0, 562
18, 47, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
18, 47, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 47, 16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
18, 47, 16, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 47, 16, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
18, 47, 16, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 47, 16, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
18, 47, 16, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 47, 16, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 47, 16, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 47, 16, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 47, 16, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 47, 17, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
18, 47, 17, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 47, 17, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
