Diff in AoQ, -100, -100, -100, -100, -100, -100, 0.427, 0.049, -0.003, 0.037, -0.007, -0.003, -0.005, -0.005, -0.003, 0.021, -0.003, -0.007, 0.001, -0.027, 0.015, -0.005, -0.015, -0.029, -0.079, -0.295, -0.329, -100
Beta offset, -0, -0, -0, -0, -0, -0, 0.071755, 0.00816023, -0.000508729, 0.00604898, -0.00114613, -0.000491445, -0.000819074, -0.000819479, -0.000491929, 0.00344011, -0.000490458, -0.00114556, 0.000163733, -0.00441636, 0.00245104, -0.00081743, -0.00244851, -0.00472633, -0.0129285, -0.0502315, -0.0557571, -0
