Diff in AoQ, -100, -100, -100, 0.059, -100, 0.361, 0.111, -0.079, 0.035, 0.015, -0.003, -0.005, -0.005, -0.005, -0.003, -0.025, 0.001, -0.003, 0.007, -0.023, 0.019, -0.003, -0.017, -0.195, -0.033, -0.113, -0.237, -100
Beta offset, -0, -0, -17.0875, 0.00986764, -0, 0.0588658, 0.0183911, -0.0130388, 0.0057475, 0.00245229, -0.000490458, -0.000817845, -0.000818257, -0.000818667, -0.000491687, -0.00409334, 0.000163402, -0.000490207, 0.00114382, -0.00375632, 0.00310305, -0.000489955, -0.00277353, -0.0319597, -0.00539504, -0.0191545, -0.0402966, -0
