FRSZ, FRSA, empty counts in FRS, empty transmission, +/-, error, carbon counts in FRS, carbon transmission, +/-, error, ch2 counts in FRS, ch2 transmission, +/-, error, sigma-1n C, +/-, error, sigma-1n CH2, +/-, error, sigma-1n H, +/-, error, sigma-1p C, +/-, error, sigma-1p CH2, +/-, error, sigma-1p H +/-, error,
21, 41, 2677, 1.36795, +/-, 0.0452169, 5328, 1.30276, +/-, 0.0278488, 6233, 1.27757, +/-, 0.0271527, 40.1233, +/-, 10.682, 71.7867, +/-, 14.6082, 15.8317, +/-, 9.04855, 83.1707, +/-, 58.7228, 153.647, +/-, 33.68, 35.2383, +/-, 33.8479, 
21, 42, 7494, 1.34335, +/-, 0.0268743, 15145, 1.29702, +/-, 0.016221, 17621, 1.26441, +/-, 0.0160964, 28.1364, +/-, 8.58267, 43.9794, +/-, 10.5787, 7.92146, +/-, 6.81121, 59.7068, +/-, 14.8854, 117.594, +/-, 19.6482, 28.9434, +/-, 12.3251, 
21, 43, 464, 1.37633, +/-, 0.110638, 897, 1.33482, +/-, 0.0678758, 1023, 1.26773, +/-, 0.0670864, 0, +/-, 104.414, 103.394, +/-, 135.775, 51.697, +/-, 85.6402, 149.357, +/-, 63.6999, 171.992, +/-, 73.6035, 11.3176, +/-, 48.6702, 
21, 44, 368, 1.52665, +/-, 0.10537, 724, 1.45702, +/-, 0.0703073, 907, 1.4062, +/-, 0.0669677, 0, +/-, 87.1184, 77.7162, +/-, 118.583, 38.8581, +/-, 73.5722, 17.356, +/-, 47.7304, 75.0474, +/-, 73.3907, 28.8457, +/-, 43.7732, 
21, 45, 856, 1.62149, +/-, 0.0870295, 1529, 1.52113, +/-, 0.0517954, 1862, 1.41535, +/-, 0.0528174, 137.003, +/-, 36.2067, 148.16, +/-, 52.3348, 5.57839, +/-, 31.8192, 27.8145, +/-, 40.5698, 40.5909, +/-, 51.2996, 6.38819, +/-, 32.7015, 
21, 46, 45, 1.68869, +/-, 0.3876, 88, 1.65085, +/-, 0.238434, 96, 1.52143, +/-, 0.235147, 114.905, +/-, 144.13, 293.427, +/-, 1285.61, 89.2611, +/-, 646.832, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, -nan, 
22, 41, 12, 1.667, +/-, 0.578409, 18, 1.50019, +/-, 0.363505, 30, 1.56673, +/-, 0.373381, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 
22, 42, 236, 1.8305, +/-, 0.176199, 447, 1.72748, +/-, 0.109108, 508, 1.59634, +/-, 0.106968, 0, +/-, -nan, 25.0299, +/-, 73.8999, 12.515, +/-, -nan, 0, +/-, 0, 6.18627, +/-, 145.856, 3.09314, +/-, 72.9278, 
22, 43, 1311, 1.81996, +/-, 0.0745697, 2668, 1.38988, +/-, 0.0373725, 3000, 1.57275, +/-, 0.045118, 2787.86, +/-, 154.299, 67.8602, +/-, 27.3598, 0, +/-, 78.3528, 65.5526, +/-, 38.2268, 60.5322, +/-, 24.8447, 0, +/-, 2.51018, 
22, 44, 320, 1.86878, +/-, 0.152823, 729, 1.68886, +/-, 0.0918302, 733, 1.58299, +/-, 0.0928063, 0, +/-, -nan, 115.094, +/-, 51.0636, 57.5468, +/-, -nan, 13.0929, +/-, 13.7398, 104.877, +/-, 59.7682, 45.8923, +/-, 30.6636, 
22, 45, 62, 1.83869, +/-, 0.346032, 113, 1.64501, +/-, 0.215409, 143, 1.53479, +/-, 0.208257, 0, +/-, -nan, 369.061, +/-, 261.605, 184.531, +/-, -nan, 207.306, +/-, 263.951, 0, +/-, 145.442, 0, +/-, 103.653, 
22, 46, 260, 1.88464, +/-, 0.170098, 451, 1.70287, +/-, 0.107028, 550, 1.54123, +/-, 0.102213, 0, +/-, -nan, 277.822, +/-, 112.429, 138.911, +/-, -nan, 42.3532, +/-, 40.2705, 95.8073, +/-, 64.9645, 26.727, +/-, 38.2168, 
22, 47, 346, 1.86127, +/-, 0.146609, 712, 1.68252, +/-, 0.0903294, 826, 1.51482, +/-, 0.0884584, 56.1952, +/-, 69.0012, 187.001, +/-, 104.209, 65.403, +/-, 62.4914, 40.7065, +/-, 32.4694, 48.5477, +/-, 39.0807, 3.92059, +/-, 25.4046, 
22, 48, 38, 1.78949, +/-, 0.434714, 76, 1.61843, +/-, 0.266516, 129, 1.42963, +/-, 0.249003, 25.5342, +/-, 430.627, 0, +/-, 455.968, 0, +/-, 12.7671, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, -nan, 
