FRSZ, FRSA, empty counts in FRS, empty transmission, +/-, error, carbon counts in FRS, carbon transmission, +/-, error, ch2 counts in FRS, ch2 transmission, +/-, error, sigma-1n C, +/-, error, sigma-1n CH2, +/-, error, sigma-1n H, +/-, error, sigma-1p C, +/-, error, sigma-1p CH2, +/-, error, sigma-1p H +/-, error,
18, 33, 33, 1.33349, +/-, 0.28629, 58, 1.23571, +/-, 0.208685, 75, 1.28001, +/-, 0.195725, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 
18, 34, 2884, 1.55157, +/-, 0.0470704, 5283, 1.47537, +/-, 0.0293814, 6256, 1.44709, +/-, 0.0284865, 38.3899, +/-, 13.0659, 89.5786, +/-, 17.832, 25.5944, +/-, 11.0533, 36.5243, +/-, 12.6054, 112.156, +/-, 22.5243, 37.8158, +/-, 12.9058, 
18, 35, 74497, 1.5452, +/-, 0.00920898, 137754, 1.4772, +/-, 0.0057245, 165440, 1.43455, +/-, 0.00563118, 39.5987, +/-, 3.09484, 85.9894, +/-, 4.16682, 23.1954, +/-, 2.59521, 63.8835, +/-, 2.29729, 131.055, +/-, 3.38479, 33.5856, +/-, 2.04538, 
18, 36, 338524, 1.53711, +/-, 0.0043149, 619718, 1.47057, +/-, 0.00266392, 743938, 1.4281, +/-, 0.407908, 54.7281, +/-, 1.72403, 134.959, +/-, 2809.85, 40.1157, +/-, 1404.92, 70.4529, +/-, 1.13113, 153.031, +/-, 43.7436, 41.2891, +/-, 21.8791, 
18, 37, 70921, 1.51403, +/-, 0.00934822, 127107, 1.45904, +/-, 0.00583849, 153410, 1.4126, +/-, 0.00558082, 41.8931, +/-, 3.86885, 109.459, +/-, 5.13625, 33.7829, +/-, 3.21516, 66.3191, +/-, 3.60227, 135.586, +/-, 5.17326, 34.6332, +/-, 3.15194, 
18, 38, 3191, 1.57923, +/-, 0.0454063, 5825, 1.50683, +/-, 0.0280994, 6855, 1.46046, +/-, 0.0274225, 43.9286, +/-, 23.838, 120.278, +/-, 31.8685, 38.1749, +/-, 19.8988, 51.66, +/-, 10.5062, 112.223, +/-, 22.8441, 30.2816, +/-, 12.5721, 
18, 39, 904, 1.67156, +/-, 0.0875797, 1509, 1.59486, +/-, 0.0551543, 1952, 1.51125, +/-, 0.0530509, 32.7368, +/-, 62.6214, 206.447, +/-, 230.204, 86.8551, +/-, 119.285, 47.9569, +/-, 27.876, 98.1239, +/-, 39.3638, 25.0835, +/-, 24.1173, 
19, 35, 11, 1.09079, +/-, 0.627493, 17, 1.1925, +/-, 0.403304, 25, 0.545396, +/-, -nan, 0, +/-, -nan, 31274.7, +/-, -nan, 15637.3, +/-, -nan, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 
19, 36, 1116, 1.48925, +/-, 0.0730674, 2112, 1.42612, +/-, 0.0453332, 2507, 1.40079, +/-, 0.0439446, 25.3194, +/-, 13.0022, 0, +/-, -nan, 0, +/-, -nan, 38.7041, +/-, 19.1686, 99.3582, +/-, 38.8818, 30.327, +/-, 21.675, 
19, 37, 25240, 1.47119, +/-, 0.0155344, 46599, 1.40521, +/-, 0.00963218, 56241, 1.36981, +/-, 0.00943001, 35.0665, +/-, 5.48531, 65.8259, +/-, 7.06403, 15.3797, +/-, 4.47183, 52.8428, +/-, 5.97372, 132.857, +/-, 10.2547, 40.0073, +/-, 5.9339, 
19, 38, 113027, 1.46277, +/-, 0.00632751, 206539, 1.40373, +/-, 0.0041436, 244768, 1.36509, +/-, 0.00396113, 17.6664, +/-, 2.25438, 41.8788, +/-, 2.99382, 12.1062, +/-, 1.87384, 51.994, +/-, 2.51554, 131.715, +/-, 3.67254, 39.8605, +/-, 2.22573, 
19, 39, 35217, 1.4885, +/-, 0.0124813, 65349, 1.4238, +/-, 0.00754332, 77540, 1.38179, +/-, 0.00766492, 46.8506, +/-, 5.0089, 115.367, +/-, 6.75998, 34.258, +/-, 4.20673, 58.3694, +/-, 6.34093, 128.458, +/-, 9.82466, 35.0442, +/-, 5.84661, 
19, 40, 1746, 1.6108, +/-, 0.0500539, 3282, 1.52163, +/-, 0.0336544, 3829, 1.46729, +/-, 0.0325854, 47.807, +/-, 29.3307, 90.4646, +/-, 89.9081, 21.3288, +/-, 47.2857, 43.0694, +/-, 38.5418, 80.0756, +/-, 29.2536, 18.5031, +/-, 24.1932, 
19, 41, 1177, 1.68576, +/-, 0.0766068, 2343, 1.57532, +/-, 0.0470806, 2790, 1.50808, +/-, 0.0458468, 113.897, +/-, 114.544, 173.537, +/-, 41.705, 29.8201, +/-, 60.9501, 30.7698, +/-, 16.5419, 91.7979, +/-, 29.0444, 30.5141, +/-, 16.7123, 
20, 37, 34, 1.4706, +/-, 0.416204, 62, 0.735301, +/-, -nan, 43, 0.771371, +/-, 0.218, 15693.3, +/-, -nan, 0, +/-, -nan, 0, +/-, -nan, 355.32, +/-, -nan, 0, +/-, 0, 0, +/-, 0, 
20, 38, 1751, 1.45633, +/-, 0.0576993, 3159, 1.37073, +/-, 0.0367351, 3823, 1.34705, +/-, 0.0348678, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, -nan, 56.335, +/-, 20.4552, 66.5054, +/-, 16.4493, 5.0852, +/-, 13.1244, 
20, 39, 28635, 1.4544, +/-, 0.0141254, 53788, 1.38114, +/-, 0.0088016, 63644, 1.33953, +/-, 0.00872539, 46.7427, +/-, 4.96886, 114.591, +/-, 7.46727, 33.924, +/-, 4.48469, 42.1582, +/-, 4.91541, 106.001, +/-, 6.9656, 31.9212, +/-, 4.26265, 
20, 40, 91862, 1.47411, +/-, 0.00842025, 176179, 1.39846, +/-, 0.00513, 207036, 1.35782, +/-, 0.00500591, 49.4342, +/-, 3.11262, 121.641, +/-, 4.30376, 36.1035, +/-, 2.65569, 51.2902, +/-, 2.74861, 134.186, +/-, 5.40704, 41.4479, +/-, 3.03278, 
20, 41, 9985, 1.49835, +/-, 0.0247014, 19397, 1.41585, +/-, 0.0151813, 23046, 1.37037, +/-, 0.0148108, 29.7809, +/-, 11.0185, 97.3858, +/-, 14.8871, 33.8024, +/-, 9.26061, 37.5538, +/-, 15.9066, 124.456, +/-, 22.1796, 43.4512, +/-, 13.6469, 
20, 42, 927, 1.56728, +/-, 0.0843093, 1757, 1.49215, +/-, 0.0517406, 2161, 1.43481, +/-, 0.0504404, 34.1551, +/-, 61.7261, 63.4669, +/-, 117.45, 14.6559, +/-, 66.341, 48.3468, +/-, 22.753, 87.577, +/-, 29.9327, 19.6151, +/-, 18.7994, 
20, 43, 1141, 1.70802, +/-, 0.0803021, 2186, 1.58884, +/-, 0.0492476, 2634, 1.50586, +/-, 0.047972, 103.362, +/-, 42.68, 157.747, +/-, 70.2118, 27.1925, +/-, 41.0831, 28.0874, +/-, 15.9912, 87.031, +/-, 30.0495, 29.4718, +/-, 17.0198, 
20, 44, 4, 1.49982, +/-, 1.22946, 7, 1.60704, +/-, 0.77121, 3, 1.08324, +/-, 0.865762, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 
21, 40, 365, 1.33707, +/-, 0.121171, 659, 1.29524, +/-, 0.0755088, 831, 1.28587, +/-, 0.0669504, 19.0476, +/-, 21.1982, 0, +/-, -nan, 0, +/-, -nan, 17.7806, +/-, 21.5974, 133.016, +/-, 90.1589, 57.6179, +/-, 46.3548, 
