FRS Z, FRS A, Frag Z, Frag A, Paddle 1, Paddle 2, Paddle 3, Paddle 4, Paddle 5, Paddle 6, Paddle 7, Paddle 8, Paddle 9, Paddle 10, Paddle 11, Paddle 12, Paddle 13, Paddle 14, Paddle 15, Paddle 16, Paddle 17, Paddle 18, Paddle 19, Paddle 20, Paddle 21, Paddle 22, Paddle 23, Paddle 24, Paddle 25, Paddle 26, Paddle 27, Paddle 28, total, total3, total_ratio 2sigma-3sigma
18, 43, 16, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -nan
18, 43, 17, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 10, 17, 34, 31, 40, 13, 3, 3, 3, 1, 1, 0, 0, 159, 215, 0.739535
18, 43, 17, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 6, 4, 41, 64, 67, 46, 14, 3, 1, 0, 0, 0, 1, 0, 0, 249, 333, 0.747748
18, 43, 17, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 9, 38, 82, 76, 44, 10, 8, 4, 4, 0, 1, 0, 0, 0, 0, 283, 384, 0.736979
18, 43, 17, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 13, 59, 91, 100, 62, 22, 6, 4, 4, 2, 0, 2, 0, 1, 0, 0, 374, 465, 0.804301
18, 43, 17, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 54, 81, 79, 30, 11, 3, 6, 4, 2, 2, 1, 0, 0, 0, 0, 0, 289, 404, 0.715347
18, 43, 17, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 14, 47, 107, 91, 38, 6, 7, 2, 5, 4, 1, 0, 0, 1, 0, 0, 0, 0, 331, 465, 0.711828
18, 43, 17, 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 32, 72, 68, 27, 7, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 220, 304, 0.723684
18, 43, 17, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0.5
18, 43, 18, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 5, 0, 0, 0, 1, 11, 34, 32, 14, 0, 2, 0, 0, 1, 0, 104, 146, 0.712329
18, 43, 18, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 2, 0, 9, 53, 63, 34, 5, 3, 2, 1, 0, 1, 0, 182, 243, 0.748971
18, 43, 18, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 5, 2, 7, 11, 63, 105, 46, 17, 3, 8, 2, 1, 2, 0, 0, 288, 383, 0.751958
18, 43, 18, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32, 29, 11, 35, 126, 154, 77, 20, 2, 2, 4, 3, 0, 1, 0, 0, 498, 651, 0.764977
18, 43, 18, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37, 54, 46, 168, 237, 132, 26, 3, 4, 2, 2, 1, 1, 0, 1, 0, 716, 949, 0.754478
18, 43, 18, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18, 110, 250, 312, 194, 54, 9, 6, 3, 4, 8, 1, 1, 0, 0, 0, 973, 1229, 0.791701
18, 43, 18, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35, 336, 639, 643, 310, 72, 22, 25, 0, 5, 13, 0, 1, 0, 1, 0, 0, 2105, 3085, 0.682334
18, 43, 18, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 63, 9541, 100909, 125629, 44854, 1575, 451, 400, 431, 349, 159, 81, 25, 5, 0, 0, 0, 0, 284475, 333681, 0.852536
18, 44, 0, 0, 0, 0, 5, 2, 5, 4, 12, 20, 83, 156, 569, 29364, 216606, 224895, 58848, 5875, 4269, 3722, 3444, 2807, 2027, 1338, 1043, 608, 439, 134, 105, 0, 556380,0 ,0
18, 44, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 8, 22, 35, 65, 79, 91, 48, 9, 2, 2, 3, 3, 2, 0, 0, 0, 374, 490, 0.763265
18, 44, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 8, 38, 47, 61, 60, 22, 11, 4, 5, 0, 0, 5, 0, 1, 1, 0, 267, 335, 0.797015
18, 44, 16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 12, 26, 43, 52, 40, 25, 5, 3, 0, 2, 2, 2, 0, 0, 1, 0, 0, 215, 277, 0.776173
18, 44, 16, 39, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 7, 23, 32, 29, 17, 7, 10, 2, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 137, 182, 0.752747
18, 44, 16, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 25, 34, 21, 9, 1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 139, 0.776978
18, 44, 16, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 20, 0.9
18, 44, 16, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 1
18, 44, 16, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
18, 44, 16, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1
18, 44, 17, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 18, 31, 39, 68, 52, 17, 7, 6, 2, 6, 0, 0, 260, 356, 0.730337
18, 44, 17, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8, 31, 61, 87, 92, 35, 16, 6, 4, 6, 3, 0, 1, 0, 355, 455, 0.78022
18, 44, 17, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 30, 60, 108, 96, 55, 22, 7, 3, 1, 2, 0, 3, 2, 0, 404, 512, 0.789062
18, 44, 17, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11, 36, 83, 125, 126, 66, 23, 8, 0, 7, 1, 2, 3, 2, 1, 0, 498, 642, 0.775701
18, 44, 17, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12, 31, 49, 121, 104, 57, 21, 2, 7, 5, 6, 1, 3, 0, 0, 0, 0, 423, 587, 0.720613
18, 44, 17, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11, 20, 94, 159, 138, 68, 22, 14, 7, 7, 3, 4, 1, 2, 1, 0, 0, 0, 553, 767, 0.720991
18, 44, 17, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 39, 62, 117, 101, 46, 22, 7, 5, 10, 7, 2, 1, 0, 0, 0, 0, 0, 0, 430, 585, 0.735043
18, 44, 17, 43, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 63, 94, 92, 29, 1, 2, 10, 2, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 318, 374, 0.850267
18, 44, 17, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0.5
18, 44, 18, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 1, 4, 21, 49, 31, 13, 3, 1, 0, 2, 0, 136, 187, 0.727273
18, 44, 18, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 0, 0, 0, 5, 30, 119, 69, 24, 6, 2, 3, 5, 1, 0, 278, 365, 0.761644
18, 44, 18, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 7, 2, 4, 6, 27, 118, 100, 35, 15, 2, 4, 1, 1, 2, 0, 344, 500, 0.688
18, 44, 18, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32, 9, 8, 21, 58, 141, 150, 69, 15, 4, 6, 3, 4, 3, 0, 0, 530, 708, 0.748588
18, 44, 18, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 76, 26, 19, 98, 233, 238, 108, 21, 4, 4, 8, 2, 3, 4, 2, 0, 856, 1163, 0.736028
18, 44, 18, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 55, 103, 100, 275, 322, 191, 30, 7, 4, 4, 4, 3, 2, 4, 3, 0, 1110, 1414, 0.785007
18, 44, 18, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51, 205, 445, 519, 236, 64, 13, 0, 5, 12, 0, 4, 4, 2, 0, 0, 1567, 2098, 0.746902
18, 44, 18, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 166, 714, 1052, 944, 372, 78, 36, 26, 24, 20, 22, 9, 3, 0, 1, 0, 0, 3485, 8694, 0.400851
18, 44, 18, 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 125, 22495, 175598, 183480, 46386, 1841, 849, 707, 802, 624, 369, 182, 75, 6, 3, 0, 0, 0, 433551, 508380, 0.852809
18, 45, 0, 0, 0, 0, 1, 0, 1, 2, 3, 6, 23, 42, 188, 13122, 70450, 55943, 10774, 1457, 1226, 1161, 1088, 886, 654, 498, 318, 224, 155, 61, 47, 0, 158330,0 ,0
18, 45, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 7, 12, 26, 27, 16, 12, 5, 3, 0, 0, 1, 0, 0, 0, 113, 145, 0.77931
18, 45, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 5, 12, 21, 18, 9, 4, 1, 0, 1, 0, 0, 0, 1, 0, 76, 96, 0.791667
18, 45, 16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 4, 2, 12, 7, 11, 4, 3, 0, 0, 1, 1, 1, 0, 1, 0, 0, 52, 71, 0.732394
18, 45, 16, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 6, 7, 11, 8, 3, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 45, 66, 0.681818
